First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Aaron,Male,2/17/2012,10:20 AM,61602,11.849,TRUE,Marketing
Aaron,Male,1/29/1994,6:48 PM,58755,5.097,TRUE,Marketing
Aaron,Male,7/22/1990,2:53 PM,52119,11.343,TRUE,Client Services
Aaron,,1/22/1986,7:39 PM,63126,18.424,FALSE,Client Services
Adam,Male,5/21/2011,1:45 AM,95327,15.12,FALSE,Distribution
Adam,Male,12/24/1990,8:57 PM,110194,14.727,TRUE,Product
Adam,Male,07-05-07,11:59 AM,71276,5.027,TRUE,Human Resources
Adam,Male,10-08-10,9:53 PM,45181,3.491,FALSE,Human Resources
Alan,,03-03-14,1:28 PM,40341,17.578,TRUE,Finance
Alan,Male,6/26/1988,3:54 AM,111786,3.592,TRUE,Engineering
Alan,Male,2/17/2012,12:26 AM,41453,10.084,FALSE,Product
Albert,Male,02-01-97,4:20 PM,67827,19.717,TRUE,Engineering
Albert,Male,9/30/2007,5:34 PM,102626,15.843,FALSE,Finance
Albert,Male,8/14/2008,5:43 PM,137840,9.705,FALSE,Business Development
Albert,Male,6/17/1992,3:25 AM,86818,14.301,TRUE,Engineering
Albert,Male,9/19/1992,2:35 AM,45094,5.85,TRUE,Business Development
Albert,Male,5/15/2012,6:24 PM,129949,10.169,TRUE,Sales
Alice,Female,05-02-86,1:50 AM,51395,2.378,TRUE,Finance
Alice,Female,1/21/2016,5:07 PM,117787,10.485,FALSE,
Alice,Female,10/16/1995,9:19 PM,92799,2.782,FALSE,Sales
Alice,,4/23/1995,6:35 AM,148339,11.479,TRUE,Finance
Alice,Female,02-09-13,12:49 AM,121250,4.363,TRUE,Finance
Alice,Female,3/23/1996,3:09 AM,131952,12.09,FALSE,Engineering
Alice,Female,09-03-88,8:54 PM,63571,15.397,TRUE,Product
Alice,Female,10-05-04,9:34 AM,47638,11.209,FALSE,Human Resources
Amanda,Female,08-01-04,1:32 PM,80803,14.077,TRUE,Distribution
Amanda,Female,06-07-02,7:46 AM,109290,13.853,FALSE,Engineering
Amanda,Female,3/17/1982,11:46 PM,107111,1.438,TRUE,Product
Amanda,,08-11-91,2:15 PM,46665,19.391,TRUE,Client Services
Amanda,Female,1/25/1995,5:06 AM,102081,5.203,FALSE,Sales
Amanda,,3/16/2010,9:17 AM,135118,15.108,FALSE,Finance
Amy,Female,6/19/2002,3:06 AM,122897,8.222,TRUE,Engineering
